variant_id,mode_name,entry_threshold,exit_threshold,full_history_total_return_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,last_1y_total_return_pct,last_90d_total_return_pct,ytd_2026_total_return_pct,stability_score,positive_window_count
rth_swing_buy_-0.02_sell_1.5,rth_swing,-0.02,1.5,66.00451162187389,22.44450148257601,0.8646062066676861,289,6.672624853115461,1.9208785509849946,0.01256735453161184,23,4
rth_swing_buy_-0.1_sell_1.5,rth_swing,-0.1,1.5,64.80151830228564,31.257721284896768,0.6739499452328663,511,-0.5505941737040554,-5.460872681994355,-3.181914866636959,139,1
rth_swing_buy_-0.05_sell_1.5,rth_swing,-0.05,1.5,55.448105117657946,21.709455704761062,0.6504316517998985,404,-0.13645773766967073,-6.698746020407864,-5.608764928178922,199,1
rth_swing_buy_-0.5_sell_1.5,rth_swing,-0.5,1.5,46.27541798729035,38.40330279394646,0.48805602648416857,683,5.3082127076490515,-6.679044251082644,-5.28610947870779,188,2
rth_swing_buy_-0.15_sell_1.5,rth_swing,-0.15,1.5,45.94189928920347,32.126048138523025,0.5175032862028073,565,-4.004068885156786,-6.140668573970132,-3.878113310551956,174,1
rth_swing_buy_-4_sell_1.5,rth_swing,-4.0,1.5,44.82972895571127,40.85000659476384,0.46000898286750724,836,7.234736131550812,-0.812389603563235,-0.19212555334983117,44,2
rth_swing_buy_-2.5_sell_1.5,rth_swing,-2.5,1.5,43.61966208094255,39.6025723675739,0.4544901294126532,824,3.1345840919016377,-1.9963866366412453,-1.3835266441748928,67,2
rth_swing_buy_-1_sell_1.5,rth_swing,-1.0,1.5,40.835264232483496,38.049148707355165,0.44293393601218806,752,4.399668177987515,-2.274920694034266,-1.2047485917720313,69,2
rth_swing_buy_-0.35_sell_1.5,rth_swing,-0.35,1.5,36.84262489461317,38.580049752225,0.4257607492486844,642,-2.320171410260252,-7.660306745160006,-6.156725303089483,227,1
rth_swing_buy_-0.75_sell_1.5,rth_swing,-0.75,1.5,36.56445754014459,37.954131464816385,0.4128190648306696,727,1.739435827985325,-3.0770130719062094,-1.6780596074576049,83,2
rth_swing_buy_-0.1_sell_1,rth_swing,-0.1,1.0,32.38957461418532,27.72725906254051,0.44293702598129225,870,1.153998521501265,-3.3917022868592994,-1.0207575584098905,84,2
rth_swing_buy_-1.5_sell_1.5,rth_swing,-1.5,1.5,31.67564746275957,41.866427738038304,0.3745859710255274,783,3.246176448709659,-2.2156493119208642,-1.74295183239348,77,2
rth_swing_buy_-0.25_sell_1.5,rth_swing,-0.25,1.5,28.5924058382099,41.49637567277787,0.3647424453886792,604,0.496106867400381,-6.122601017338358,-4.313990809360135,173,2
rth_swing_buy_-0.15_sell_1,rth_swing,-0.15,1.0,28.412156823339107,24.09725077951881,0.38945229553657523,998,-6.95312907543415,-5.8091203122234925,-3.5721883702288126,182,1
rth_swing_buy_-0.05_sell_1,rth_swing,-0.05,1.0,26.287657883371352,17.04859433351926,0.4175702483256465,656,-4.328380294405488,-4.16493637026133,-2.9618742195618664,145,1
