variant_id,timeframe_minutes,mode_name,buy_threshold,sell_threshold,full_history_total_return_pct,full_history_cagr_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,last_1y_total_return_pct,last_90d_total_return_pct,ytd_2026_total_return_pct,positive_window_count,stability_score
1m_swing_buy_-0.1_sell_1.5,1,swing,-0.1,1.5,28.42850045537457,5.13784964195223,30.669357770683202,0.34241923053034196,1022,-19.80236121704021,-6.628074227659642,-3.32844831757797,1,41
1m_swing_buy_-0.02_sell_1.5,1,swing,-0.02,1.5,23.330288801821485,4.288499182239902,28.080085674560053,0.3041184400334151,579,-7.8866215555441155,8.31913614637816,3.056889149124098,3,9
5m_swing_buy_-0.5_sell_0.75,5,swing,-0.5,0.75,22.06405934414977,4.0732037352672945,36.40010549575692,0.29055812730482256,1362,6.991503333997229,6.457351837940761,7.478273750294928,4,14
5m_swing_buy_-0.5_sell_1,5,swing,-0.5,1.0,18.8732531985079,3.5226435724661442,37.105735394354745,0.26737164864545176,1172,20.307919768850468,1.223590854935308,2.568978043289527,4,53
2m_swing_buy_-0.5_sell_1.5,2,swing,-0.5,1.5,14.070812666608056,2.671288577172093,41.6855701634157,0.23042475555514297,1310,-14.479903443638676,2.852818757153064,1.7194527513238134,3,18
1m_swing_buy_-0.05_sell_1.5,1,swing,-0.05,1.5,10.370596224138339,1.9955560873029965,33.681458870022055,0.20011227738405826,808,-20.208531563149812,-9.078294132779597,-8.133717924757434,1,62
5m_intraday_buy_-0.5_sell_1.5,5,intraday,-0.5,1.5,9.075956389864782,1.754848981642776,15.649097838574644,0.19604762836140843,1504,-5.1074966450359245,-0.6438571689960426,-2.5964494414170924,1,46
5m_swing_buy_-0.5_sell_1.5,5,swing,-0.5,1.5,7.680985674854757,1.4929167150082856,42.50844387308537,0.17770200197056304,872,14.872547364463951,2.435628879827978,1.5894418173968639,4,56
2m_swing_buy_-0.25_sell_1.5,2,swing,-0.25,1.5,7.60659113347526,1.4788716683337366,46.682061332191836,0.17746620188045734,1117,-9.272151431248975,-2.581930810613764,-3.9936048014214465,1,56
1m_swing_buy_-0.5_sell_1.5,1,swing,-0.5,1.5,4.31642839240205,0.8498065861566317,41.25091057032135,0.14761627642197606,1365,-9.555336963282034,-9.029289179049893,-7.5085928899721655,1,54
1m_swing_buy_-0.15_sell_1.5,1,swing,-0.15,1.5,1.5300907073792835,0.3045379828271022,36.90458534246039,0.12140465148587454,1129,-25.231226471239143,-7.981177640636261,-4.729398777287086,1,56
5m_swing_buy_-0.5_sell_0.5,5,swing,-0.5,0.5,-3.0545196882930337,-0.6192683941623645,46.545033318970866,0.08269220271072068,1582,20.17948011929429,7.998477251535174,9.501458116202599,3,8
15m_intraday_buy_-0.25_sell_0.35,15,intraday,-0.25,0.35,-6.290638525292147,-1.2926177825951957,28.54830794128723,-0.06434640565454608,1009,4.815799724172498,3.560190374856398,2.0880327333751003,3,43
5m_intraday_buy_-0.5_sell_1,5,intraday,-0.5,1.0,-6.550261789555067,-1.3474400919274099,20.84610060195322,-0.020852386904366804,1839,-11.346154826456855,-3.617303485963519,-2.3715678519368066,0,78
15m_intraday_buy_-0.25_sell_1.5,15,intraday,-0.25,1.5,-6.7160577187578285,-1.3825134906840564,28.18474533296602,-0.10691348375268066,717,13.27777034607196,2.9840558583476007,1.1425291784258995,3,50
5m_intraday_buy_-0.25_sell_1.5,5,intraday,-0.25,1.5,-7.307972742194457,-1.5081386284082177,21.15128491742554,-0.05005806330473931,1210,1.475559770131607,3.036264024514135,0.24661359739506228,3,16
15m_intraday_buy_-0.15_sell_0.35,15,intraday,-0.15,0.35,-7.684106372779354,-1.588301151326188,29.02704522367029,-0.09280958278122842,975,5.62512100392587,4.220695844275113,2.267410663639402,3,32
15m_intraday_buy_-0.05_sell_0.35,15,intraday,-0.05,0.35,-8.38657932108654,-1.7387160220879383,28.29501151161844,-0.10914287861410388,937,5.192656636763648,4.082647018179952,2.0739074090172505,3,40
15m_intraday_buy_-0.1_sell_0.35,15,intraday,-0.1,0.35,-8.552020966327778,-1.7742748475713332,28.677287131605777,-0.11030425563104909,961,5.072682428576569,4.061849310380006,2.053511085892157,3,44
15m_intraday_buy_-0.5_sell_1.5,15,intraday,-0.5,1.5,-9.040612154873362,-1.8795902763802164,30.49905895782865,-0.15704915982101753,792,13.960296329393817,3.364938801033479,1.5166012988438116,3,34
