variant_id,year,sessions,year_return_pct,year_max_drawdown_pct,year_end_equity
rth_swing_threshold_-4,2021,209,-18.244110977828242,19.464667514273128,20438.972255542943
rth_swing_threshold_-4,2022,251,-44.824897420906396,47.6110670048959,11277.223908108313
rth_swing_threshold_-4,2023,250,-26.101219821638477,30.097542124024713,8333.730906074587
rth_swing_threshold_-4,2024,252,-30.435565318130998,29.9935749097062,5797.312792718981
rth_swing_threshold_-4,2025,250,-38.9374528885117,40.31504772967948,3539.986855254363
rth_swing_threshold_-4,2026,44,-6.997770464844089,8.875507433341955,3292.2667006380098
rth_intraday_threshold_-4,2021,209,-25.327271217194568,26.11133879664732,18668.182195701353
rth_intraday_threshold_-4,2022,251,-44.908417236249655,45.538505363303315,10284.597044832528
rth_intraday_threshold_-4,2023,250,-26.14480882519372,29.79992603317898,7595.70880901955
rth_intraday_threshold_-4,2024,252,-39.273030189799485,38.9947742628706,4612.643795324046
rth_intraday_threshold_-4,2025,250,-45.63800331635364,45.582112214834616,2507.5252670424816
rth_intraday_threshold_-4,2026,44,-7.047407351642477,8.200628522960807,2330.8097470286366
