strategy_id,family,template,asymmetric_edge_score,expectancy,payoff_ratio,average_loss,max_drawdown_pct,average_MFE,average_MAE,final_equity
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,relative_strength_vs_benchmark,215.22896925156004,82.68822131330276,1.276531329741893,-177.4278761501233,46.37138362695909,0.10256061142902956,-0.06772250605684169,246108.30379177188
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,cross_sectional_momentum,208.69875490189074,91.94694835642696,1.3465864358160042,-176.14508478950358,43.75507109331842,0.109414230658096,-0.06853185387775494,228570.5436611294
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,pullback_in_trend,126.98188820104063,46.8767809255949,1.0304836353510463,-208.8776626908234,74.54726920599204,0.09392071047200765,-0.08214353910285214,121238.03124024614
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,ma_regime_continuation,74.73163873408815,39.24035447344487,1.1783033561159488,-138.27204246822808,12.392111487623636,0.06474720087667825,-0.06338934016409146,35320.213226516
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,volatility_contraction_breakout,72.80529318264276,40.409956761703,1.1075662206462267,-125.343198601173,20.265774294457927,0.061518803233153146,-0.05188651625969153,39426.35456392796
dse_exact_user_subset_5y,Down Streak Exhaustion,down_streak_exhaustion,70.8872598778065,26.476366040952552,1.7968748471232956,-65.45596485604099,5.930546643874612,0.04356704498161585,-0.029656391018531722,31116.040555460037
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,rsi_pullback,63.66602038174973,14.964349967993606,1.1673155191019131,-78.90485419988703,21.899543528876908,0.039024959994494825,-0.03368806334258551,45501.15945615125
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,breakout_consolidation,62.574673038331284,26.086294381470648,0.9403653095590434,-112.93528673945086,19.128185879681393,0.04729549620440819,-0.042369702834294996,37130.12688738384
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,gap_reversion,61.78587202252209,20.360262531672312,1.3205114716172535,-86.89284167564624,7.058814332225372,0.05352707467843403,-0.04785644953888444,28827.729355954394
zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,zscore_pullback,58.496867867398954,14.47517584136518,1.1401766774205846,-79.34491306854147,14.618197261540756,0.040958066174163754,-0.03379019311820562,36030.08399112027
turn_of_month_trend_rep_user_subset_5y,Turn of Month Trend Family,turn_of_month_trend,44.52912801041114,1.8577895240344136,1.0137269092939643,-66.10103948623507,14.88912025487129,0.027607808774131,-0.03039211304419958,25880.59223439231
